Shoulder_Y_norm,Shoulder_Y_vel,Shoulder_Y_acc,Shoulder_Z_norm,Shoulder_Z_vel,Shoulder_Z_acc,Knee_Y_norm,Knee_Y_vel,Knee_Y_acc,Knee_Z_norm,Knee_Z_vel,Knee_Z_acc,Ankle_Y_norm,Ankle_Y_vel,Ankle_Y_acc,Ankle_Z_norm,Ankle_Z_vel,Ankle_Z_acc,Knee_Angle_norm,Knee_Angle_vel,EMG_Main_MVC,EMG_Compass_MVC
0.668584427,0,0,-0.01454199,0,0,-0.287767446,0,0,-0.021735438,0,0,-0.313424569,0,0,-0.030915577,0,0,0.914623169,0,0.049321289,0.034206547
0.668820762,0.014180102,0.850806124,-0.014741398,-0.011964461,-0.717867667,-0.28782653,-0.003545026,-0.212701531,-0.022030856,-0.017725128,-1.063507655,-0.312774647,0.038995281,2.339716841,-0.031380861,-0.027917076,-1.675024557,0.910178416,-0.26668517,0.046586314,0.038639047
0.668266852,-0.033234614,-2.844882977,-0.015125442,-0.023042666,-0.664692284,-0.289805836,-0.118758355,-6.912799758,-0.023419325,-0.0833081,-3.934978324,-0.313276859,-0.030132717,-4.147679855,-0.031299621,0.00487441,1.967489162,0.922559986,0.742894158,0.043760923,0.042958788
0.668215154,-0.003101897,1.807963014,-0.014490292,0.038109024,3.66910141,-0.288926965,0.052732255,10.28943656,-0.023205146,0.012850717,5.769529029,-0.313653518,-0.022599538,0.451990753,-0.030878649,0.025258307,1.223033803,0.929727381,0.430043708,0.040790419,0.047031733
0.666006898,-0.132495329,-7.763605882,-0.013855141,0.038109024,1.50E-13,-0.290241579,-0.078876818,-7.896544339,-0.021949616,0.075331792,3.748864484,-0.31604641,-0.143573533,-7.258439746,-0.031580269,-0.042097178,-4.041329089,0.910325787,-1.164095612,0.037669918,0.05070718
0.667410137,0.084194356,13.00138108,-0.013397242,0.027473948,-0.638104593,-0.289731981,0.030575845,6.56715977,-0.021942231,0.000443128,-4.493319843,-0.314694869,0.081092459,13.47995953,-0.030871264,0.042540306,5.078249053,0.914717592,0.263508307,0.034455817,0.053827785
0.668060059,0.038995281,-2.71194452,-0.012282036,0.066912357,2.366304532,-0.289229769,0.030132717,-0.026587691,-0.021188913,0.045199075,2.685356829,-0.314443763,0.015066358,-3.961566015,-0.030376437,0.029689589,-0.77104305,0.912050911,-0.160000867,0.031261327,0.056249184
0.665201882,-0.171490609,-12.6291534,-0.012776863,-0.029689589,-5.79611672,-0.290588696,-0.081535587,-6.700098227,-0.021772365,-0.035007127,-4.812372139,-0.317405337,-0.177694404,-11.56564575,-0.031801833,-0.085523741,-6.912799758,0.909883343,-0.13005412,0.028234582,0.057862386
0.665438217,0.014180102,11.14024269,-0.012629153,0.008862564,2.31312915,-0.292235656,-0.098817586,-1.036919964,-0.022902342,-0.067798613,-1.967489162,-0.316445226,0.057606665,14.11806412,-0.03089342,0.054504767,8.401710475,0.923411615,0.811696314,0.025524803,0.058613365
0.666398328,0.057606665,2.605593755,-0.011602573,0.061594818,3.163935274,-0.291940237,0.017725128,6.992562832,-0.022178566,0.043426563,6.673510535,-0.315773148,0.040324665,-1.036919964,-0.030627543,0.015952615,-2.31312915,0.915691794,-0.463189211,0.023246889,0.058516393
